player_name,cluster
Thaddeus Young,Big Espaçador
Theo Pinson,Infiltrador
Thomas Bryant,Big Espaçador
Thon Maker,Big Espaçador
Tim Hardaway Jr.,Arremessador Versátil
Timothe Luwawu-Cabarrot,Arremessador Parado
Tobias Harris,Criador de Arremessos
Tomas Satoransky,Big Espaçador
Tony Bradley,Big Interior
Tony Snell,Arremessador Parado
Torrey Craig,Arremessador Parado
Trae Young,Criador de Arremessos
Treveon Graham,Big Espaçador
Trevor Ariza,Arremessador Parado
Trey Burke,Criador de Arremessos
Trey Lyles,Big Espaçador
Tristan Thompson,Big Interior
Troy Brown Jr.,Infiltrador
Troy Daniels,Arremessador Parado
Ty Jerome,Arremessador Versátil
Tyler Herro,Arremessador Versátil
Tyler Johnson,Arremessador Versátil
Tyus Jones,Criador de Arremessos
Victor Oladipo,Criador de Arremessos
Vince Carter,Arremessador Parado
Wayne Ellington,Arremessador Parado
Wendell Carter Jr.,Big Interior
Wes Iwundu,Arremessador Versátil
Wesley Matthews,Arremessador Parado
Will Barton,Infiltrador
Willie Cauley-Stein,Big Interior
Willy Hernangomez,Big Interior
Wilson Chandler,Arremessador Parado
Yogi Ferrell,Criador de Arremessos
Zach LaVine,Infiltrador
Zion Williamson,Big Interior
